iter	Passed	Remaining
692	5626	10611
693	5634	10603
694	5643	10596
695	5651	10588
696	5660	10581
697	5668	10572
698	5677	10567
699	5684	10557
700	5693	10550
701	5701	10541
702	5710	10534
703	5723	10535
704	5743	10550
705	5754	10547
706	5767	10547
707	5779	10547
708	5791	10545
709	5804	10546
710	5868	10639
711	5896	10666
712	5905	10660
713	5920	10663
714	5938	10672
715	5947	10665
716	5959	10664
717	5970	10659
718	5978	10652
719	5990	10649
720	5999	10642
721	6009	10637
722	6022	10636
723	6032	10631
724	6042	10626
725	6053	10623
726	6062	10616
727	6073	10612
728	6084	10608
729	6101	10614
730	6115	10615
731	6127	10614
732	6142	10617
733	6152	10611
734	6159	10600
735	6170	10596
736	6180	10591
737	6188	10583
738	6198	10577
739	6205	10565
740	6215	10559
741	6222	10549
742	6232	10543
743	6239	10532
744	6248	10525
745	6255	10515
746	6265	10509
747	6273	10500
748	6282	10493
749	6293	10489
750	6301	10479
751	6312	10475
752	6319	10466
753	6330	10460
754	6338	10452
755	6348	10445
756	6359	10442
757	6368	10434
758	6378	10429
759	6387	10421
760	6395	10413
761	6405	10407
762	6413	10397
763	6423	10391
764	6430	10381
765	6440	10374
766	6447	10364
767	6458	10361
768	6466	10351
769	6477	10347
770	6487	10341
771	6494	10331
772	6503	10323
773	6510	10312
774	6519	10304
775	6526	10293
776	6535	10286
777	6542	10275
778	6550	10266
779	6556	10255
780	6567	10250
781	6575	10242
782	6584	10234
783	6591	10224
784	6600	10216
785	6608	10206
786	6616	10198
787	6623	10186
788	6631	10177
789	6637	10166
790	6644	10155
791	6652	10147
792	6660	10137
793	6668	10128
794	6676	10120
795	6685	10112
796	6693	10103
797	6701	10094
798	6708	10083
799	6715	10073
800	6722	10063
801	6731	10054
802	6737	10043
803	6746	10035
804	6752	10024
805	6762	10017
806	6769	10007
807	6778	10000
808	6785	9990
809	6796	9984
810	6803	9974
811	6813	9969
812	6822	9961
813	6829	9951
814	6840	9945
815	6848	9936
816	6860	9934
817	6868	9925
818	6879	9920
819	6952	10005
820	6963	10000
821	6982	10007
822	6994	10003
823	7004	9997
824	7012	9987
825	7021	9979
826	7029	9970
827	7040	9964
828	7046	9953
829	7056	9946
830	7064	9937
831	7074	9930
832	7083	9923
833	7091	9914
834	7101	9908
835	7109	9899
836	7118	9891
837	7126	9881
838	7134	9872
839	7142	9863
840	7152	9856
841	7161	9848
842	7170	9840
843	7177	9830
844	7187	9824
845	7196	9816
846	7206	9809
847	7214	9800
848	7222	9791
849	7230	9782
850	7239	9774
851	7247	9766
852	7256	9757
853	7266	9751
854	7275	9742
855	7285	9736
856	7294	9728
857	7301	9718
858	7310	9710
859	7318	9701
860	7327	9693
861	7333	9682
862	7343	9674
863	7349	9663
864	7357	9654
865	7365	9645
866	7372	9634
867	7381	9626
868	7387	9615
869	7396	9606
870	7402	9595
871	7411	9587
872	7419	9578
873	7430	9573
874	7438	9563
875	7445	9553
876	7453	9544
877	7462	9535
878	7469	9525
879	7478	9518
880	7487	9509
881	7494	9500
882	7503	9492
883	7511	9482
884	7520	9474
885	7526	9463
886	7534	9454
887	7541	9443
888	7548	9434
889	7556	9424
890	7564	9415
891	7571	9405
892	7579	9395
893	7586	9385
894	7594	9376
895	7603	9368
896	7610	9358
897	7620	9351
898	7626	9339
899	7635	9332
900	7642	9321
901	7651	9314
902	7658	9303
903	7667	9295
904	7673	9284
905	7680	9274
906	7689	9265
907	7697	9256
908	7705	9248
909	7715	9241
910	7722	9231
911	7732	9224
912	7738	9213
913	7749	9207
914	7756	9197
915	7765	9190
916	7772	9179
917	7780	9170
918	7787	9160
919	7797	9153
920	7806	9145
921	7814	9136
922	7824	9130
923	7831	9120
924	7840	9112
925	7847	9102
926	7856	9094
927	7863	9083
928	7872	9075
929	7881	9067
930	7891	9060
931	7897	9050
932	7908	9044
933	7915	9034
934	7925	9026
935	7931	9016
936	7941	9008
937	7947	8998
938	7956	8990
939	7962	8979
940	7972	8971
941	7978	8961
942	7987	8953
943	7994	8942
944	8002	8934
945	8009	8923
946	8017	8915
947	8024	8904
948	8031	8894
949	8040	8886
950	8046	8875
951	8054	8866
952	8060	8855
953	8069	8848
954	8075	8836
955	8085	8830
956	8092	8819
957	8101	8812
958	8109	8803
959	8117	8794
960	8125	8785
961	8134	8777
962	8143	8769
963	8151	8760
964	8157	8749
965	8166	8741
966	8173	8731
967	8181	8722
968	8188	8712
969	8196	8703
970	8203	8693
971	8212	8685
972	8219	8675
973	8238	8678
974	8246	8669
975	8254	8660
976	8263	8652
977	8269	8641
978	8277	8632
979	8284	8622
980	8293	8614
981	8300	8604
982	8310	8597
983	8317	8588
984	8326	8580
985	8333	8569
986	8341	8561
987	8349	8551
988	8357	8543
989	8363	8532
990	8371	8523
991	8378	8513
992	8385	8503
993	8393	8495
994	8401	8485
995	8410	8477
996	8416	8467
997	8424	8458
998	8431	8448
999	8439	8439
1000	8445	8429
1001	8454	8420
1002	8461	8411
1003	8470	8402
1004	8476	8392
1005	8483	8382
1006	8491	8373
1007	8498	8363
1008	8507	8356
1009	8515	8346
1010	8523	8338
1011	8530	8327
1012	8541	8322
1013	8548	8312
1014	8574	8321
1015	8602	8331
1016	8618	8329
1017	8625	8320
1018	8640	8318
1019	8652	8313
1020	8660	8303
1021	8669	8296
